gvkey,permno,adate,qdate,public_date,bm,evm,pe_exi,pe_inc,ps,pcf,npm,opmbd,gpm,cfm,roa,roe,roce,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_totdebt,debt_ebitda,ocf_lct,cash_debt,lt_ppent,cash_ratio,quick_ratio,curr_ratio,inv_turn,at_turn,rect_turn,pay_turn,ptb,divyield,TICKER
12141,10107,2017-06-30,2017-06-30,2017-08-31,0.137,20.374,27.59,27.59,6.402,14.577,0.236,0.338,0.706,0.333,0.14,0.29,0.157,0.48,0.52,0.588,0.52,0.032,2.915,0.612,0.234,7.108,2.061,2.443,2.477,11.941,0.414,4.726,3.694,7.897,2.09%,MSFT
12141,10107,2017-06-30,2017-09-30,2017-11-30,0.165,15.409,24.976,24.976,6.547,16.073,0.266,0.401,0.746,0.328,0.176,0.371,0.196,0.499,0.501,0.592,0.501,0.028,2.242,0.676,0.234,6.475,2.177,2.523,2.562,10.816,0.422,6.443,3.744,6.824,2.00%,MSFT
12141,10107,2017-06-30,2017-12-31,2018-02-28,0.124,16.153,52.977,52.977,7.06,17.199,0.135,0.4,0.746,0.209,0.174,0.179,0.189,0.489,0.511,0.584,0.511,0.028,2.263,0.742,0.234,5.988,2.388,2.764,2.806,11.106,0.421,6.23,3.682,8.854,1.79%,MSFT
12141,10107,2017-06-30,2018-03-31,2018-05-31,0.116,16.61,48.931,48.931,7.172,17.469,0.149,0.404,0.745,0.229,0.176,0.197,0.192,0.492,0.508,0.575,0.508,0.029,2.182,0.789,0.234,5.454,2.48,2.885,2.928,11.385,0.427,6.051,3.644,9.3,1.70%,MSFT
12141,10107,2018-06-30,2018-06-30,2018-08-31,0.11,18.785,52.737,52.737,7.805,19.628,0.15,0.407,0.742,0.243,0.18,0.212,0.212,0.502,0.498,0.531,0.498,0.031,1.946,0.75,0.249,4.873,2.287,2.855,2.901,11.75,0.441,4.77,3.615,10.346,1.50%,MSFT
12141,10107,2018-06-30,2018-09-30,2018-11-30,0.1,17.538,46.012,46.012,7.408,18.874,0.164,0.417,0.744,0.256,0.19,0.22,0.213,0.499,0.501,0.557,0.501,0.03,1.901,0.824,0.249,4.866,2.487,2.958,3.005,11.341,0.452,5.781,3.654,9.679,1.66%,MSFT
12141,10107,2018-06-30,2018-12-31,2019-02-28,0.121,17.356,25.993,25.993,7.256,18.634,0.283,0.422,0.744,0.376,0.196,0.401,0.225,0.511,0.489,0.525,0.489,0.031,1.75,0.874,0.249,4.581,2.507,3.016,3.065,11.736,0.464,5.867,3.743,9.125,1.64%,MSFT
12141,10107,2018-06-30,2019-03-31,2019-05-31,0.107,17.561,27.484,27.484,7.755,19.954,0.286,0.427,0.747,0.378,0.205,0.403,0.237,0.526,0.474,0.514,0.474,0.031,1.663,0.868,0.249,4.417,2.416,2.925,2.972,12.158,0.471,5.902,3.826,9.801,1.49%,MSFT
12141,10107,2019-06-30,2019-06-30,2019-08-31,0.1,20.351,27.245,27.245,8.365,20.171,0.312,0.434,0.751,0.405,0.2,0.422,0.239,0.564,0.436,0.477,0.436,0.031,1.585,0.752,0.283,4.201,1.928,2.499,2.529,13.253,0.461,4.494,3.413,10.263,1.33%,MSFT
12141,10107,2019-06-30,2019-09-30,2019-11-30,0.1,17.883,28.508,28.508,8.896,22.062,0.317,0.443,0.757,0.408,0.216,0.431,0.253,0.554,0.446,0.482,0.446,0.031,1.495,0.904,0.283,4.061,2.286,2.803,2.841,14.7,0.477,5.93,3.702,10.865,1.35%,MSFT
